City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,glazunovka,52.4986,36.3275,287.99,90,99,4.42,RU,1696439137
340,spas-klepiki,55.1347,40.1767,287.33,76,100,6.04,RU,1696439137
341,hengchun,22.0042,120.7439,299.65,90,100,18.93,TW,1696439137
342,kurumkan,54.3,110.3,279.89,61,40,2.24,RU,1696439137
343,nuku'alofa,-21.1333,-175.2,293.34,83,75,5.14,TO,1696439137
344,bodaybo,57.8506,114.1933,277.41,97,100,1.94,RU,1696439137
345,shenjiamen,29.9576,122.298,295.81,65,89,8.73,CN,1696439137
346,saint-philippe,-21.3585,55.7679,295.92,81,92,4.47,RE,1696439137
347,lira,2.235,32.9097,295.35,63,62,1.19,UG,1696439137
348,biograd na moru,43.9433,15.4519,295.79,61,95,2.62,HR,1696439138
349,firuzabad,28.8438,52.5707,299.48,21,3,2.67,IR,1696439138
350,maxixe,-23.8597,35.3472,295.05,83,20,3.6,MZ,1696439138
351,kruisfontein,-34.0033,24.7314,291.42,91,27,4.57,ZA,1696439138
352,jiuquan,39.7432,98.5174,286.22,59,91,0.95,CN,1696439138
353,oriximina,-1.7656,-55.8661,311.71,30,100,3.48,BR,1696439138
354,najaf,31.9985,44.3398,302.03,34,20,2.57,IQ,1696438863
355,nowshahr,36.649,51.496,295.12,78,75,0.0,IR,1696439139
356,gizo,-8.103,156.8419,300.27,83,98,3.58,SB,1696439139
357,antsiranana,-12.2787,49.2917,297.43,82,32,8.42,MG,1696439139
358,greenwood,34.1668,-82.1165,300.83,58,20,2.57,US,1696439139
359,izhevsk,56.85,53.2333,286.67,71,94,7.15,RU,1696438881
